TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_DEFAULT	COLUMN_KEY	EXTRA	ORDINAL_POSITION
access_requests	id	char(36)	NO	uuid()	PRI	DEFAULT_GENERATED	1
access_requests	user_id	char(36)	NO	NULL	MUL		2
access_requests	page_code	varchar(100)	NO	NULL	MUL		3
access_requests	reason	text	YES	NULL			4
access_requests	status	enum('pending','approved','denied')	NO	pending	MUL		5
access_requests	reviewed_by	char(36)	YES	NULL			6
access_requests	reviewed_at	datetime	YES	NULL			7
access_requests	review_note	text	YES	NULL			8
access_requests	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	9
account_control_log	id	char(36)	NO	NULL	PRI		1
account_control_log	user_id	char(36)	NO	NULL	MUL		2
account_control_log	action	enum('password_reset_requested','password_reset_sent','password_reset_completed','force_change_set','account_locked','account_unlocked','account_disabled','account_enabled','session_revoked')	NO	NULL	MUL		3
account_control_log	initiated_by	char(36)	NO	NULL			4
account_control_log	ip_address	varchar(45)	YES	NULL			5
account_control_log	reason	text	YES	NULL			6
account_control_log	metadata_json	json	YES	NULL			7
account_control_log	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	8
action_plan	id	char(36)	NO	uuid()	PRI	DEFAULT_GENERATED	1
action_plan	process_id	char(36)	NO	NULL	MUL		2
action_plan	metric_id	char(36)	NO	NULL	MUL		3
action_plan	action_text	text	NO	NULL			4
action_plan	owner_level	enum('analyst','tl','process_manager','branch_head')	NO	NULL			5
action_plan	owner_name	varchar(255)	NO	NULL			6
action_plan	due_date	date	NO	NULL			7
action_plan	status	enum('planned','in_progress','done','delayed')	NO	planned			8
action_plan	created_by	char(36)	NO	NULL			9
action_plan	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	10
action_plan	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP	11
adherence_alert	id	char(36)	NO	uuid()	PRI	DEFAULT_GENERATED	1
adherence_alert	alert_date	date	NO	NULL	MUL		2
adherence_alert	alert_type	enum('no_show','late_arrival','early_exit','break_breach','low_adherence','coverage_breach','shrinkage_spike')	NO	NULL	MUL		3
adherence_alert	severity	enum('info','warning','critical')	NO	warning			4
adherence_alert	employee_id	char(36)	YES	NULL	MUL		5
adherence_alert	process_id	char(36)	YES	NULL			6
adherence_alert	branch_id	char(36)	YES	NULL			7
adherence_alert	threshold_pct	decimal(5,2)	YES	NULL			8
adherence_alert	actual_pct	decimal(5,2)	YES	NULL			9
adherence_alert	breach_minutes	int	YES	NULL			10
adherence_alert	recon_id	char(36)	YES	NULL			11
adherence_alert	coverage_snapshot_id	char(36)	YES	NULL			12
adherence_alert	status	enum('open','acknowledged','resolved','suppressed')	NO	open	MUL		13
adherence_alert	acknowledged_by	char(36)	YES	NULL			14
adherence_alert	acknowledged_at	datetime	YES	NULL			15
adherence_alert	resolved_by	char(36)	YES	NULL			16
adherence_alert	resolved_at	datetime	YES	NULL			17
adherence_alert	resolution_note	text	YES	NULL			18
adherence_alert	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	19
applicant	id	char(36)	NO	NULL	PRI		1
applicant	job_id	char(36)	YES	NULL	MUL		2
applicant	current_stage	varchar(100)	YES	new	MUL		3
applicant	created_at	timestamp	YES	CURRENT_TIMESTAMP		DEFAULT_GENERATED	4
appointment_letter_audit	id	char(36)	NO	NULL	PRI		1
appointment_letter_audit	letter_request_id	char(36)	NO	NULL	MUL		2
appointment_letter_audit	action	varchar(50)	NO	NULL			3
appointment_letter_audit	from_state	varchar(50)	YES	NULL			4
appointment_letter_audit	to_state	varchar(50)	YES	NULL			5
appointment_letter_audit	performed_by	char(36)	YES	NULL			6
appointment_letter_audit	remarks	text	YES	NULL			7
appointment_letter_audit	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	8
appointment_letter_audit_log	id	char(36)	NO	uuid()	PRI	DEFAULT_GENERATED	1
appointment_letter_audit_log	appointment_letter_request_id	char(36)	NO	NULL	MUL		2
appointment_letter_audit_log	employee_id	char(36)	NO	NULL	MUL		3
appointment_letter_audit_log	action_type	varchar(100)	NO	NULL			4
appointment_letter_audit_log	from_status	varchar(100)	YES	NULL			5
appointment_letter_audit_log	to_status	varchar(100)	YES	NULL			6
appointment_letter_audit_log	evidence_url	varchar(500)	YES	NULL			7
appointment_letter_audit_log	provider_reference	varchar(255)	YES	NULL			8
appointment_letter_audit_log	remarks	text	YES	NULL			9
appointment_letter_audit_log	actor_user_id	char(36)	YES	NULL			10
appointment_letter_audit_log	ip_address	varchar(45)	YES	NULL			11
appointment_letter_audit_log	user_agent	text	YES	NULL			12
appointment_letter_audit_log	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	13
appointment_letter_request	id	char(36)	NO	NULL	PRI		1
appointment_letter_request	employee_id	char(36)	NO	NULL	UNI		2
appointment_letter_request	candidate_id	char(36)	YES	NULL	MUL		3
appointment_letter_request	template_id	char(36)	YES	NULL			4
appointment_letter_request	document_url	varchar(500)	YES	NULL			5
appointment_letter_request	aadhaar_esign_status	enum('not_sent','sent','candidate_signed','failed','manual_completed')	NO	not_sent			6
appointment_letter_request	company_signature_status	enum('pending','signed','failed','manual_completed')	NO	pending			7
appointment_letter_request	final_pdf_url	varchar(500)	YES	NULL			8
appointment_letter_request	status	enum('draft','sent_for_esign','candidate_signed','company_signed','completed','blocked')	NO	draft	MUL		9
appointment_letter_request	esign_provider	varchar(50)	YES	NULL			10
appointment_letter_request	esign_transaction_id	varchar(255)	YES	NULL			11
appointment_letter_request	candidate_esign_url	text	YES	NULL			12
appointment_letter_request	company_sign_url	text	YES	NULL			13
appointment_letter_request	manual_override_reason	text	YES	NULL			14
appointment_letter_request	manual_override_by	char(36)	YES	NULL			15
appointment_letter_request	manual_override_at	datetime	YES	NULL			16
appointment_letter_request	sent_at	datetime	YES	NULL			17
appointment_letter_request	candidate_signed_at	datetime	YES	NULL			18
appointment_letter_request	company_signed_at	datetime	YES	NULL			19
appointment_letter_request	completed_at	datetime	YES	NULL			20
appointment_letter_request	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	21
appointment_letter_request	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP	22
appointment_letter_request	candidate_esign_status	varchar(30)	YES	pending			23
appointment_letter_request	candidate_esign_at	datetime	YES	NULL			24
appointment_letter_request	company_sign_status	varchar(30)	YES	pending			25
appointment_letter_request	company_sign_at	datetime	YES	NULL			26
appointment_letter_request	company_signed_by	char(36)	YES	NULL			27
appointment_letter_request	pdf_locked	tinyint(1)	NO	0			28
appointment_letter_request	pdf_locked_at	datetime	YES	NULL			29
appointment_letter_request	vault_path	text	YES	NULL			30
appointment_letter_request	manual_override_approved	tinyint(1)	NO	0			31
appointment_letter_request	current_state	varchar(50)	NO	draft			32
appraisal_cycle	id	char(36)	NO	uuid()	PRI	DEFAULT_GENERATED	1
appraisal_cycle	cycle_name	varchar(128)	NO	NULL			2
appraisal_cycle	period	varchar(9)	NO	NULL			3
appraisal_cycle	start_date	date	NO	NULL			4
appraisal_cycle	end_date	date	NO	NULL			5
appraisal_cycle	status	enum('draft','active','closed')	NO	draft			6
appraisal_cycle	created_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	7
appraisal_rating	id	char(36)	NO	uuid()	PRI	DEFAULT_GENERATED	1
appraisal_rating	cycle_id	char(36)	NO	NULL	MUL		2
appraisal_rating	employee_id	char(36)	NO	NULL	MUL		3
appraisal_rating	self_rating	decimal(3,1)	YES	NULL			4
appraisal_rating	manager_rating	decimal(3,1)	YES	NULL			5
appraisal_rating	final_rating	decimal(3,1)	YES	NULL			6
appraisal_rating	self_comments	text	YES	NULL			7
appraisal_rating	manager_comments	text	YES	NULL			8
appraisal_rating	status	enum('pending','self_done','manager_done','calibrated','closed')	NO	pending			9
appraisal_rating	rated_by	char(36)	YES	NULL			10
appraisal_rating	updated_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED on update CURRENT_TIMESTAMP	11
approval_action_log	id	char(36)	NO	uuid()	PRI	DEFAULT_GENERATED	1
approval_action_log	request_id	char(36)	NO	NULL	MUL		2
approval_action_log	step_order	int	NO	NULL			3
approval_action_log	actor_user_id	char(36)	NO	NULL			4
approval_action_log	action	enum('approved','rejected','withdrawn','delegated','comment')	NO	NULL			5
approval_action_log	remarks	text	YES	NULL			6
approval_action_log	acted_at	datetime	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED	7
approval_request	id	char(36)	NO	uuid()	PRI	DEFAULT_GENERATED	1
approval_request	workflow_id	char(36)	NO	NULL	MUL		2
approval_request	module_key	varchar(100)	NO	NULL			3
approval_request	entity_type	varchar(100)	NO	NULL	MUL		4
approval_request	entity_id	char(36)	NO	NULL			5
approval_request	current_step	int	NO	1			6
approval_request	status	enum('pending','approved','rejected','withdrawn','cancelled')	NO	pending	MUL		7
approval_request	requested_by	char(36)	NO	NULL			8
approval_request	summary_text	text	YES	NULL			9
