TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
action_plan	metric_id	action_plan_ibfk_1	kpi_metric_master	id
adherence_alert	employee_id	adherence_alert_ibfk_1	employees	id
appraisal_rating	cycle_id	appraisal_rating_ibfk_1	appraisal_cycle	id
approval_action_log	request_id	approval_action_log_ibfk_1	approval_request	id
approval_request	workflow_id	approval_request_ibfk_1	approval_workflow_master	id
approval_workflow_step	workflow_id	approval_workflow_step_ibfk_1	approval_workflow_master	id
asset_assignment	asset_id	asset_assignment_ibfk_1	asset_master	id
asset_assignment	employee_id	asset_assignment_ibfk_2	employees	id
asset_master	branch_id	asset_master_ibfk_1	branch_master	id
asset_service_log	asset_id	asset_service_log_ibfk_1	asset_master	id
ats_bgv_record	candidate_id	ats_bgv_record_ibfk_1	ats_candidate	id
ats_branch_head_approval	payroll_validation_id	ats_branch_head_approval_ibfk_1	ats_payroll_hr_validation	id
ats_candidate	recruiter_id	fk_candidate_recruiter	ats_recruiter_roster	id
ats_candidate_documents	candidate_id	ats_candidate_documents_ibfk_1	ats_candidate	id
ats_candidate_portal_access	candidate_id	ats_candidate_portal_access_ibfk_1	ats_candidate	id
ats_candidate_stage_log	candidate_id	ats_candidate_stage_log_ibfk_1	ats_candidate	id
ats_duplicate_log	candidate_id	ats_duplicate_log_ibfk_1	ats_candidate	id
ats_duplicate_log	matched_with_id	ats_duplicate_log_ibfk_2	ats_candidate	id
ats_email_log	candidate_id	ats_email_log_ibfk_1	ats_candidate	id
ats_employment_offer	candidate_id	ats_employment_offer_ibfk_2	ats_candidate	id
ats_employment_offer	department_id	ats_employment_offer_ibfk_3	department_master	id
ats_employment_offer	designation_id	ats_employment_offer_ibfk_4	designation_master	id
ats_employment_offer	onboarding_request_id	ats_employment_offer_ibfk_1	ats_onboarding_request	id
ats_employment_offer	reporting_manager_id	ats_employment_offer_ibfk_5	employees	id
ats_interview_approval_log	approved_by	ats_interview_approval_log_ibfk_3	employees	id
ats_interview_approval_log	assignment_id	ats_interview_approval_log_ibfk_1	ats_interview_assignment	id
ats_interview_approval_log	candidate_id	ats_interview_approval_log_ibfk_2	ats_candidate	id
ats_interview_assignment	assigned_by	ats_interview_assignment_ibfk_3	employees	id
ats_interview_assignment	branch_id	ats_interview_assignment_ibfk_4	branch_master	id
ats_interview_assignment	candidate_id	ats_interview_assignment_ibfk_1	ats_candidate	id
ats_interview_assignment	interviewer_id	ats_interview_assignment_ibfk_2	employees	id
ats_interview_assignment	process_id	ats_interview_assignment_ibfk_5	process_master	id
ats_interview_result	candidate_id	ats_interview_result_ibfk_1	ats_candidate	id
ats_interview_slot	branch_id	ats_interview_slot_ibfk_1	branch_master	id
ats_interview_slot	process_id	ats_interview_slot_ibfk_2	process_master	id
ats_interview_submission	candidate_id	fk_ats_interview_submission_candidate	ats_candidate	id
ats_interview_submission_audit	submission_id	fk_ats_interview_submission_audit_submission	ats_interview_submission	id
ats_offer	candidate_id	ats_offer_ibfk_1	ats_candidate	id
ats_offer_acknowledgements	offer_letter_id	ats_offer_acknowledgements_ibfk_1	ats_offer_letters	id
ats_offer_approval	offer_id	ats_offer_approval_ibfk_1	ats_employment_offer	id
ats_offer_letters	candidate_id	ats_offer_letters_ibfk_1	ats_candidate	id
ats_offer_letters	template_id	ats_offer_letters_ibfk_2	ats_offer_letter_templates	id
ats_onboarding_bridge	candidate_id	ats_onboarding_bridge_ibfk_1	ats_candidate	id
ats_onboarding_bridge	employee_id	ats_onboarding_bridge_ibfk_2	employees	id
ats_onboarding_request	branch_id	ats_onboarding_request_ibfk_2	branch_master	id
ats_onboarding_request	candidate_id	ats_onboarding_request_ibfk_1	ats_candidate	id
