TABLE_NAME	COLUMN_NAME	SEQ_IN_INDEX	NON_UNIQUE	INDEX_NAME
access_requests	page_code	1	1	idx_ar_page
access_requests	status	1	1	idx_ar_status
access_requests	user_id	1	1	idx_ar_user
access_requests	id	1	0	PRIMARY
account_control_log	action	1	1	idx_acl_action
account_control_log	user_id	1	1	idx_acl_user_id
account_control_log	id	1	0	PRIMARY
action_plan	process_id	1	1	idx_ap_process
action_plan	metric_id	1	1	metric_id
action_plan	id	1	0	PRIMARY
adherence_alert	alert_date	1	1	idx_alert_date
adherence_alert	employee_id	1	1	idx_alert_employee
adherence_alert	status	1	1	idx_alert_status
adherence_alert	alert_type	1	1	idx_alert_type
adherence_alert	id	1	0	PRIMARY
applicant	current_stage	1	1	idx_current_stage
applicant	job_id	1	1	idx_job_id
applicant	id	1	0	PRIMARY
appointment_letter_audit	letter_request_id	1	1	idx_request
appointment_letter_audit	id	1	0	PRIMARY
appointment_letter_audit_log	employee_id	1	1	idx_employee
appointment_letter_audit_log	appointment_letter_request_id	1	1	idx_request
appointment_letter_audit_log	id	1	0	PRIMARY
appointment_letter_request	candidate_id	1	1	idx_appointment_candidate
appointment_letter_request	status	1	1	idx_appointment_status
appointment_letter_request	id	1	0	PRIMARY
appointment_letter_request	employee_id	1	0	uq_appointment_employee
appraisal_cycle	id	1	0	PRIMARY
appraisal_rating	employee_id	1	1	idx_appr_emp
appraisal_rating	id	1	0	PRIMARY
appraisal_rating	cycle_id	1	0	uq_appraisal
appraisal_rating	employee_id	2	0	uq_appraisal
approval_action_log	request_id	1	1	idx_aal_request
approval_action_log	id	1	0	PRIMARY
approval_request	entity_type	1	1	idx_ar_entity
approval_request	entity_id	2	1	idx_ar_entity
approval_request	status	1	1	idx_ar_status
approval_request	id	1	0	PRIMARY
approval_request	workflow_id	1	1	workflow_id
approval_workflow_master	id	1	0	PRIMARY
approval_workflow_master	workflow_code	1	0	workflow_code
approval_workflow_step	id	1	0	PRIMARY
approval_workflow_step	workflow_id	1	0	uq_workflow_step
approval_workflow_step	step_order	2	0	uq_workflow_step
apr	ReportDate	1	0	PRIMARY
