TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME
access_requests	id	PRIMARY
account_control_log	id	PRIMARY
action_plan	id	PRIMARY
adherence_alert	id	PRIMARY
applicant	id	PRIMARY
appointment_letter_audit	id	PRIMARY
appointment_letter_audit_log	id	PRIMARY
appointment_letter_request	id	PRIMARY
appraisal_cycle	id	PRIMARY
appraisal_rating	id	PRIMARY
approval_action_log	id	PRIMARY
approval_request	id	PRIMARY
approval_workflow_master	id	PRIMARY
approval_workflow_step	id	PRIMARY
apr	campaign_id	PRIMARY
apr	ReportDate	PRIMARY
apr	UserID	PRIMARY
apr_manual_upload	id	PRIMARY
asset_assignment	id	PRIMARY
asset_master	id	PRIMARY
asset_service_log	id	PRIMARY
ats_bgv_record	id	PRIMARY
ats_bgv_response	id	PRIMARY
ats_bgv_verification	id	PRIMARY
ats_bgv_verification_details	id	PRIMARY
ats_branch_alias_master	id	PRIMARY
ats_branch_head_approval	id	PRIMARY
ats_candidate	id	PRIMARY
ats_candidate_confirmation	id	PRIMARY
ats_candidate_documents	id	PRIMARY
ats_candidate_portal_access	id	PRIMARY
ats_candidate_stage_log	id	PRIMARY
ats_command_audit_log	id	PRIMARY
ats_command_config	setting	PRIMARY
ats_command_email_log	id	PRIMARY
ats_command_sla_event	id	PRIMARY
ats_daily_branch_report_log	id	PRIMARY
ats_doc_upload_response	id	PRIMARY
ats_dropdown_list	id	PRIMARY
ats_duplicate_log	id	PRIMARY
ats_email_log	id	PRIMARY
ats_email_template	template_code	PRIMARY
ats_employment_offer	id	PRIMARY
ats_form_config	id	PRIMARY
ats_form_field_mapping	id	PRIMARY
ats_forms_catalog	form_key	PRIMARY
ats_incremental_repair_cursor	cursor_key	PRIMARY
ats_interview_approval_log	id	PRIMARY
ats_interview_assignment	id	PRIMARY
ats_interview_result	id	PRIMARY
ats_interview_slot	id	PRIMARY
ats_interview_submission	id	PRIMARY
ats_interview_submission_audit	id	PRIMARY
ats_notification_log	id	PRIMARY
ats_offer	id	PRIMARY
ats_offer_acknowledgements	id	PRIMARY
ats_offer_approval	id	PRIMARY
ats_offer_letter_templates	id	PRIMARY
ats_offer_letters	id	PRIMARY
ats_onboarding_bridge	id	PRIMARY
