month,employee_code,branch,cost_center,component_code,component_label,bill_amount,hrms_amount,diff
2026-05,MAS38964,"HEAD OFFICE","BSS/BLD/CORP/796",TOTAL_DED,"Total Deduction",0,15280,15280
2026-05,MAS55833,"HEAD OFFICE","BSS/BLD/CORP/796",TOTAL_DED,"Total Deduction",0,564,564
2026-05,MAS00175,"HEAD OFFICE","FINANCE/ACCOUNTS",TOTAL_DED,"Total Deduction",0,4164,4164
2026-05,MAS00176,"HEAD OFFICE","FINANCE/ACCOUNTS",TOTAL_DED,"Total Deduction",0,5160,5160
2026-05,MAS00182,"HEAD OFFICE","FINANCE/ACCOUNTS",TOTAL_DED,"Total Deduction",0,3600,3600
2026-05,MAS08107,"HEAD OFFICE","FINANCE/ACCOUNTS",TOTAL_DED,"Total Deduction",0,1260,1260
2026-05,MAS47905,"HEAD OFFICE","IT/SYSTEM",TOTAL_DED,"Total Deduction",0,16372,16372
2026-05,MAS00001,"HEAD OFFICE","MANAGEMENT-CORPORATE",TOTAL_DED,"Total Deduction",0,32800,32800
2026-05,MAS00183,"HEAD OFFICE","MANAGEMENT-CORPORATE",TOTAL_DED,"Total Deduction",0,6000,6000
2026-05,MAS07197,"HEAD OFFICE","MANAGEMENT-CORPORATE",TOTAL_DED,"Total Deduction",0,6202,6202
2026-05,MAS59445,"HEAD OFFICE","MANAGEMENT-CORPORATE",TOTAL_DED,"Total Deduction",0,44360,44360
2026-05,MAS57432,"NOIDA-2","BSS/OB/NOIDA-2/927",TOTAL_DED,"Total Deduction",0,968,968
2026-05,MAS60235,"NOIDA-2","BSS/OB/NOIDA-2/927",TOTAL_DED,"Total Deduction",0,953,953
2026-05,MAS60636,"NOIDA-2","BSS/OB/NOIDA-2/927",TOTAL_DED,"Total Deduction",0,953,953
2026-05,MAS61778,"NOIDA-2","BSS/OB/NOIDA-2/927",TOTAL_DED,"Total Deduction",0,953,953
2026-05,MAS62045,"NOIDA-2","BSS/OB/NOIDA-2/927",TOTAL_DED,"Total Deduction",0,906,906
2026-05,MAS62054,"NOIDA-2","BSS/OB/NOIDA-2/927",TOTAL_DED,"Total Deduction",0,892,892
2026-05,MAS62415,"NOIDA-2","BSS/OB/NOIDA-2/927",TOTAL_DED,"Total Deduction",0,761,761
2026-05,MAS51531,"NOIDA-2","BSS/OB/NOIDA-2/972",TOTAL_DED,"Total Deduction",0,1200,1200
2026-05,MAS38040,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,2400,2400
2026-05,MAS62196,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1250,1250
2026-05,MAS62197,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,948,948
2026-05,MAS62199,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1250,1250
2026-05,MAS62257,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1336,1336
2026-05,MAS62259,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,926,926
2026-05,MAS62260,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1250,1250
2026-05,MAS62261,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,952,952
2026-05,MAS62262,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1028,1028
2026-05,MAS62263,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,659,659
2026-05,MAS62264,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1228,1228
2026-05,MAS62285,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,830,830
2026-05,MAS62357,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1336,1336
2026-05,MAS62358,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1336,1336
2026-05,MAS62359,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1207,1207
2026-05,MAS62360,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1207,1207
2026-05,MAS62361,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1250,1250
2026-05,MAS62363,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,657,657
2026-05,MAS62366,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,277,277
2026-05,MAS62367,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1336,1336
2026-05,MAS62368,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1120,1120
2026-05,MAS62369,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,1142,1142
2026-05,MAS62466,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,761,761
2026-05,MAS62467,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,657,657
2026-05,MAS62468,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,761,761
2026-05,MAS62572,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,139,139
2026-05,MAS62573,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,312,312
2026-05,MAS62574,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,349,349
2026-05,MAS62575,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,349,349
2026-05,MAS62475,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,208,208
2026-05,MAS62477,"NOIDA-2","BSS/OB/NOIDA-2/1015",TOTAL_DED,"Total Deduction",0,485,485
2026-05,MAS08226,"NOIDA-2","BSS/BO/NOIDA-2/577",TOTAL_DED,"Total Deduction",0,2400,2400
2026-05,MAS36220,"NOIDA-2","BSS/BO/NOIDA-2/577",TOTAL_DED,"Total Deduction",0,4200,4200
2026-05,MAS45661,"NOIDA-2","BSS/BO/NOIDA-2/577",TOTAL_DED,"Total Deduction",0,1080,1080
2026-05,MAS47157,"NOIDA-2","BSS/BO/NOIDA-2/577",TOTAL_DED,"Total Deduction",0,2640,2640
2026-05,MAS47327,"NOIDA-2","BSS/BO/NOIDA-2/577",TOTAL_DED,"Total Deduction",0,1891,1891
2026-05,MAS47451,"NOIDA-2","BSS/BO/NOIDA-2/577",TOTAL_DED,"Total Deduction",0,1950,1950
2026-05,MAS47624,"NOIDA-2","BSS/BO/NOIDA-2/577",TOTAL_DED,"Total Deduction",0,1944,1944
2026-05,MAS47814,"NOIDA-2","BSS/BO/NOIDA-2/577",TOTAL_DED,"Total Deduction",0,5880,5880
2026-05,MAS47827,"NOIDA-2","BSS/BO/NOIDA-2/577",TOTAL_DED,"Total Deduction",0,2040,2040
