module	database	via	file
_db	apr	getAprPool	backend/src/db/aprDb.ts
_db	db_bill	billQuery	backend/src/db/billDb.ts
_db	db_bill	getBillPool	backend/src/db/billDb.ts
_db	dialer_db	dialerQuery	backend/src/db/dialerDb.ts
_db	dialer_db	getDialerPool	backend/src/db/dialerDb.ts
_db	db_bill	getLegacyPool	backend/src/db/legacyDb.ts
_db	db_masmis	getMasmisPool	backend/src/db/masmisDb.ts
_db	db_bill	getLegacyPool	backend/src/db/ncosecDb.ts
_db	ncosec	getNcosecPool	backend/src/db/ncosecDb.ts
apr	apr	getAprPool	backend/src/modules/apr/apr.service.ts
break-management	ncosec	getNcosecPool	backend/src/modules/break-management/break-management.service.ts
business-intelligence	db_bill	getLegacyPool	backend/src/modules/business-intelligence/bi.service.ts
call-master	dialer_db	getDialerPool	backend/src/modules/call-master/inbound.service.ts
employees	db_bill	getBillPool	backend/src/modules/employees/employee.secure.routes.ts
erp	db_bill	billQuery	backend/src/modules/erp/vendor-sync.service.ts
finance	db_bill	billQuery	backend/src/modules/finance/client-payment-tracking.service.ts
finance	db_bill	billQuery	backend/src/modules/finance/mandate-seat-tracking.service.ts
finance	db_bill	billQuery	backend/src/modules/finance/salary-voucher-bill.service.ts
job-requisition	lms	lmsQuery	backend/src/modules/job-requisition/job-requisition.service.ts
leave	db_bill	getLegacyPool	backend/src/modules/leave/leave.routes.ts
legacy	db_bill	getLegacyPool	backend/src/modules/legacy/legacy-analyzer.service.ts
lms	lms	lmsQuery	backend/src/modules/lms/lms-employee-mapper.ts
lms	lms	lmsQuery	backend/src/modules/lms/lms.service.ts
lms	lms	lmsQuery	backend/src/modules/lms/lms.sync.service.ts
lms-integration	lms	lmsQuery	backend/src/modules/lms-integration/lms-external-db.ts
migration	db_bill	getLegacyPool	backend/src/modules/migration/migrateDocumentsFromLegacy.ts
migration	db_bill	getBillPool	backend/src/modules/migration/syncStatutoryDataFromDbBill.ts
payroll	db_bill	billQuery	backend/src/modules/payroll/bank-payment-readiness.service.ts
payroll	db_bill	billQuery	backend/src/modules/payroll/statutory-applicability.service.ts
quality-dashboard	dialer_db	dialerQuery	backend/src/modules/quality-dashboard/inbound-ops.service.ts
wfm	ncosec	getNcosecPool	backend/src/modules/wfm/attendance-realtime-ncosec.service.ts
wfm	ncosec	getNcosecPool	backend/src/modules/wfm/attendance-reconciliation.service.ts
wfm	ncosec	getNcosecPool	backend/src/modules/wfm/biometric-logs.service.ts
wfm	ncosec	getNcosecPool	backend/src/modules/wfm/cosec-sync.service.ts
_workers	dialer_db	dialerQuery	backend/src/workers/domains/agent-status-sync.ts
_workers	dialer_db	dialerQuery	backend/src/workers/domains/call-data-sync.ts
_workers	dialer_db	dialerQuery	backend/src/workers/domains/dialer-kpi-sync.ts
_workers	db_bill	getLegacyPool	backend/src/workers/domains/domain-sync-base.ts
_workers	db_bill	getLegacyPool	backend/src/workers/domains/employee-sync-handler.ts
_workers	db_bill	getLegacyPool	backend/src/workers/domains/leave-sync-handler.ts
_workers	db_bill	getLegacyPool	backend/src/workers/sync-engine/change-tracking-engine.ts
