action_plan	metric_id	kpi_metric_master	id	action_plan_ibfk_1
adherence_alert	employee_id	employees	id	adherence_alert_ibfk_1
ai_feedback	request_id	ai_provider_usage_log	id	ai_feedback_ibfk_1
appointment_letter_issue	employee_id	employees	id	fk_ali_employee
appraisal_rating	cycle_id	appraisal_cycle	id	appraisal_rating_ibfk_1
approval_action_log	request_id	approval_request	id	approval_action_log_ibfk_1
approval_request	workflow_id	approval_workflow_master	id	approval_request_ibfk_1
approval_workflow_step	workflow_id	approval_workflow_master	id	approval_workflow_step_ibfk_1
apr_eligibility_config	designation_id	designation_master	id	apr_eligibility_config_ibfk_1
apr_eligibility_config	department_id	department_master	id	apr_eligibility_config_ibfk_2
apr_eligibility_config	process_id	process_master	id	apr_eligibility_config_ibfk_3
asset_assignment	asset_id	asset_master	id	asset_assignment_ibfk_1
asset_assignment	employee_id	employees	id	asset_assignment_ibfk_2
asset_master	branch_id	branch_master	id	asset_master_ibfk_1
asset_movement_log	asset_id	asset_master	id	fk_aml_asset
asset_movement_log	employee_id	employees	id	fk_aml_employee
asset_service_log	asset_id	asset_master	id	asset_service_log_ibfk_1
ats_bgv_initiation	candidate_id	ats_candidate	id	ats_bgv_initiation_ibfk_1
ats_bgv_record	candidate_id	ats_candidate	id	ats_bgv_record_ibfk_1
ats_branch_head_approval	payroll_validation_id	ats_payroll_hr_validation	id	ats_branch_head_approval_ibfk_1
ats_candidate	recruiter_id	ats_recruiter_roster	id	fk_candidate_recruiter
ats_candidate_documents	candidate_id	ats_candidate	id	ats_candidate_documents_ibfk_1
ats_candidate_portal_access	candidate_id	ats_candidate	id	ats_candidate_portal_access_ibfk_1
ats_candidate_portal_login	candidate_id	ats_candidate	id	ats_candidate_portal_login_ibfk_1
ats_candidate_stage_log	candidate_id	ats_candidate	id	ats_candidate_stage_log_ibfk_1
ats_duplicate_log	candidate_id	ats_candidate	id	ats_duplicate_log_ibfk_1
ats_duplicate_log	matched_with_id	ats_candidate	id	ats_duplicate_log_ibfk_2
ats_email_log	candidate_id	ats_candidate	id	ats_email_log_ibfk_1
ats_employment_offer	onboarding_request_id	ats_onboarding_request	id	ats_employment_offer_ibfk_1
ats_employment_offer	candidate_id	ats_candidate	id	ats_employment_offer_ibfk_2
ats_employment_offer	department_id	department_master	id	ats_employment_offer_ibfk_3
ats_employment_offer	designation_id	designation_master	id	ats_employment_offer_ibfk_4
ats_employment_offer	reporting_manager_id	employees	id	ats_employment_offer_ibfk_5
ats_interview_approval_log	assignment_id	ats_interview_assignment	id	ats_interview_approval_log_ibfk_1
ats_interview_approval_log	candidate_id	ats_candidate	id	ats_interview_approval_log_ibfk_2
ats_interview_approval_log	approved_by	employees	id	ats_interview_approval_log_ibfk_3
ats_interview_assignment	candidate_id	ats_candidate	id	ats_interview_assignment_ibfk_1
ats_interview_assignment	interviewer_id	employees	id	ats_interview_assignment_ibfk_2
ats_interview_assignment	assigned_by	employees	id	ats_interview_assignment_ibfk_3
ats_interview_assignment	branch_id	branch_master	id	ats_interview_assignment_ibfk_4
ats_interview_assignment	process_id	process_master	id	ats_interview_assignment_ibfk_5
ats_interview_result	candidate_id	ats_candidate	id	ats_interview_result_ibfk_1
ats_interview_slot	branch_id	branch_master	id	ats_interview_slot_ibfk_1
ats_interview_slot	process_id	process_master	id	ats_interview_slot_ibfk_2
ats_interview_submission	process_id	process_master	id	fk_ais_process
ats_interview_submission	candidate_id	ats_candidate	id	fk_ats_interview_submission_candidate
ats_interview_submission_audit	submission_id	ats_interview_submission	id	fk_ats_interview_submission_audit_submission
ats_offer	candidate_id	ats_candidate	id	ats_offer_ibfk_1
ats_offer_acknowledgements	offer_letter_id	ats_offer_letters	id	ats_offer_acknowledgements_ibfk_1
ats_offer_approval	offer_id	ats_employment_offer	id	ats_offer_approval_ibfk_1
ats_offer_letters	candidate_id	ats_candidate	id	ats_offer_letters_ibfk_1
ats_offer_letters	template_id	ats_offer_letter_templates	id	ats_offer_letters_ibfk_2
ats_onboarding_bridge	candidate_id	ats_candidate	id	ats_onboarding_bridge_ibfk_1
ats_onboarding_bridge	employee_id	employees	id	ats_onboarding_bridge_ibfk_2
ats_onboarding_request	candidate_id	ats_candidate	id	ats_onboarding_request_ibfk_1
ats_onboarding_request	branch_id	branch_master	id	ats_onboarding_request_ibfk_2
ats_onboarding_tasks	candidate_id	ats_candidate	id	ats_onboarding_tasks_ibfk_1
ats_payroll_hr_validation	candidate_id	ats_candidate	id	ats_payroll_hr_validation_ibfk_1
ats_queue_token	candidate_id	ats_candidate	id	ats_queue_token_ibfk_1
ats_queue_token_history	queue_token_id	ats_queue_token	id	ats_queue_token_history_ibfk_1
ats_queue_token_history	candidate_id	ats_candidate	id	ats_queue_token_history_ibfk_2
ats_recruiter_assignment_log	candidate_id	ats_candidate	id	ats_recruiter_assignment_log_ibfk_1
ats_recruiter_session	recruiter_id	ats_recruiter_roster	id	ats_recruiter_session_ibfk_1
attendance_billing_config	process_id	process_master	id	attendance_billing_config_ibfk_1
attendance_billing_config	branch_id	branch_master	id	attendance_billing_config_ibfk_2
attendance_billing_config	designation_id	designation_master	id	attendance_billing_config_ibfk_3
attendance_billing_config	employee_id	employees	id	attendance_billing_config_ibfk_4
attendance_daily_record	employee_id	employees	id	attendance_daily_record_ibfk_1
attendance_daily_record	process_id	process_master	id	attendance_daily_record_ibfk_2
attendance_daily_record	branch_id	branch_master	id	attendance_daily_record_ibfk_3
attendance_daily_record	rule_config_id	attendance_rule_config	id	attendance_daily_record_ibfk_4
attendance_daily_record	regularization_id	attendance_regularization	id	attendance_daily_record_ibfk_5
attendance_exception	employee_id	employees	id	fk_att_exc_employee
attendance_manual_override	created_by	auth_user	id	fk_amo_created_by
attendance_manual_override	employee_id	employees	id	fk_amo_employee
attendance_reconciliation_record	employee_id	employees	id	attendance_reconciliation_record_ibfk_1
attendance_regularization	employee_id	employees	id	attendance_regularization_ibfk_1
attendance_regularization	reason_code	attendance_reason_master	code	fk_reg_reason_code
attendance_rule_config	designation_id	designation_master	id	attendance_rule_config_ibfk_1
attendance_rule_config	process_id	process_master	id	attendance_rule_config_ibfk_2
attendance_rule_config	branch_id	branch_master	id	attendance_rule_config_ibfk_3
attrition_record	employee_id	employees	id	attrition_record_ibfk_1
attrition_record	process_id	process_master	id	attrition_record_ibfk_2
attrition_record	branch_id	branch_master	id	attrition_record_ibfk_3
attrition_snapshot	branch_id	branch_master	id	attrition_snapshot_ibfk_1
attrition_snapshot	process_id	process_master	id	attrition_snapshot_ibfk_2
auth_inactive_access_log	employee_id	employees	id	auth_inactive_access_log_ibfk_1
auth_otp_reset	user_id	auth_user	id	auth_otp_reset_ibfk_1
auth_password_history	user_id	auth_user	id	auth_password_history_ibfk_1
auth_password_reset	user_id	auth_user	id	auth_password_reset_ibfk_1
auth_refresh_token	user_id	auth_user	id	auth_refresh_token_ibfk_1
biometric_attendance_log	employee_id	employees	id	biometric_attendance_log_ibfk_1
biometric_attendance_log	attendance_record_id	attendance_daily_record	id	biometric_attendance_log_ibfk_2
biometric_device_master	branch_id	branch_master	id	biometric_device_master_ibfk_1
branch_payroll_hr_signatory	branch_id	branch_master	id	fk_bphs_branch
branch_wfm_spoc_config	backup_spoc_user_id	employees	id	fk_bwsc_backup
branch_wfm_spoc_config	branch_id	branch_master	id	fk_bwsc_branch
branch_wfm_spoc_config	primary_spoc_user_id	employees	id	fk_bwsc_primary
break_alert_logs	break_session_id	break_sessions	id	break_alert_logs_ibfk_1
