module	files	loc	routes	tables_read	tables_written	cross_db	roles
ats	94	37534	315	155	115	-	<spread>|CEO_DASHBOARD|HR_DASHBOARD|MANAGEMENT_DASHBOARD|RECRUITER_DASHBOARD|SUPER_ADMIN_DASHBOARD|admin|branch_head|branch_hr|hr|hr_admin|manager|operations_manager|payroll|payroll_head|payroll_hr|recruiter|super_admin
payroll	75	33780	298	175	81	db_bill	<spread>|admin|branch_admin|branch_head|ceo|employee|finance|finance_head|hr|imprest_manager|payroll|payroll_admin|payroll_branch|payroll_head|payroll_hr|process_manager|super_admin|wfm
reporting	67	33206	38	202	7	-	<spread>|admin|super_admin
wfm	79	29276	209	121	62	ncosec	<spread>|admin|assistant_manager|branch_head|ceo|hr|manager|operations_manager|payroll_head|process_manager|super_admin|team_leader|tl|wfm
process-pnl	51	26176	140	131	46	-	<spread>|accounts_head|admin|branch_admin|finance_head|payroll|payroll_hr|super_admin
employees	47	20633	126	132	61	db_bill	<spread>|admin|branch_head|ceo|finance|finance_head|hr|hr_admin|hr_head|it_head|manager|payroll|payroll_admin|payroll_head|payroll_hr|process_manager|super_admin|tq_head|wfm
finance	36	17581	123	101	44	db_bill	<spread>|accounts_head|branch_head|finance_head|super_admin
ai	37	11139	29	61	16	-	admin|super_admin
_workers	48	9852	0	76	37	dialer_db|db_bill	-
management	25	9293	24	90	5	-	<spread>|CEO_DASHBOARD|HR_DASHBOARD|MANAGEMENT_DASHBOARD|OPERATIONS_DASHBOARD|QUALITY_DASHBOARD|SUPER_ADMIN_DASHBOARD|admin|assistant_manager|branch_head|ceo|finance|finance_head|hr|manager|payroll|payroll_head|payroll_hr|process_manager|qa|super_admin|team_leader
uat-pipeline	28	8979	43	41	17	-	<spread>
_shared	58	8973	0	60	20	-	-
ats-assessment	15	8891	34	30	12	-	admin|hr|recruitment_hr|super_admin
engagement	26	8685	85	68	36	-	admin|ceo|hr|manager|payroll_hr|process_manager|super_admin|team_leader
quality-dashboard	32	8310	93	40	9	dialer_db	<spread>|CEO_DASHBOARD|SUPER_ADMIN_DASHBOARD|admin|qa|super_admin
communication	32	6665	28	20	12	-	admin|hr|manager|process_manager|super_admin
kpi	20	5840	66	48	32	-	<spread>|CEO_DASHBOARD|MANAGEMENT_DASHBOARD|Quality|SUPER_ADMIN_DASHBOARD|WFM|admin|branch_head|ceo|employee|hr|manager|process_manager|qa|super_admin|team_leader
bulk-upload	20	5494	11	26	25	-	admin|hr|payroll|payroll_hr|super_admin|wfm|wfm_analyst
roster	20	5346	59	29	19	-	admin|hr|process_manager|wfm
dashboards	10	5118	15	53	2	-	<spread>
performance-ingestion	15	4862	21	19	14	-	<spread>|admin|super_admin
exit	19	4595	42	31	20	-	admin|branch_head|ceo|finance|hr|manager|operations_head|payroll|wfm
