module	method	path	roles	file
access	GET	/me		backend/src/modules/access/access.routes.ts
access	GET	/pages/my-catalog		backend/src/modules/access/access.routes.ts
access	GET	/rbac-reconciliation	admin	backend/src/modules/access/access.routes.ts
access	GET	/roles/catalog	admin|hr	backend/src/modules/access/access.routes.ts
access	GET	/users	admin|hr|super_admin	backend/src/modules/access/access.routes.ts
access	GET	/roles/:roleKey/summary	admin|hr	backend/src/modules/access/access.routes.ts
access	GET	/roles/:roleKey/permissions	admin	backend/src/modules/access/access.routes.ts
access	PUT	/roles/:roleKey/module-access	admin	backend/src/modules/access/access.routes.ts
access	PUT	/roles/:roleKey/permissions	admin	backend/src/modules/access/access.routes.ts
access	GET	/rbac/status	admin	backend/src/modules/access/access.routes.ts
access	POST	/rbac/sync	admin	backend/src/modules/access/access.routes.ts
access	GET	/activity	admin	backend/src/modules/access/access.routes.ts
access	GET	/roles/user/:userId	admin|hr	backend/src/modules/access/access.routes.ts
access	POST	/roles/assign	admin	backend/src/modules/access/access.routes.ts
access	POST	/roles/revoke	admin	backend/src/modules/access/access.routes.ts
access	GET	/branches	admin|hr	backend/src/modules/access/access.routes.ts
access	GET	/processes	admin|hr	backend/src/modules/access/access.routes.ts
access	GET	/roles/user-scopes/:userId	admin	backend/src/modules/access/access.routes.ts
access	POST	/roles/assign-scope	admin	backend/src/modules/access/access.routes.ts
access	DELETE	/roles/remove-scope/:scopeId	admin	backend/src/modules/access/access.routes.ts
access	GET	/audit-log		backend/src/modules/access/access.routes.ts
access	GET	/page-access	admin	backend/src/modules/access/access.routes.ts
access	GET	/pages/catalog	admin	backend/src/modules/access/access.routes.ts
access	PATCH	/pages/catalog/:pageCode/status	super_admin	backend/src/modules/access/access.routes.ts
access	GET	/users-for-access	admin	backend/src/modules/access/access.routes.ts
access	GET	/user-page-access/:userId	admin	backend/src/modules/access/access.routes.ts
access	GET	/user-page-access/:userId/effective	admin	backend/src/modules/access/access.routes.ts
access	POST	/user-page-access/assign	admin	backend/src/modules/access/access.routes.ts
access	POST	/user-page-access/bulk-assign	admin	backend/src/modules/access/access.routes.ts
access	POST	/user-page-access/revoke	admin	backend/src/modules/access/access.routes.ts
access	GET	/user-page-access-audit	admin	backend/src/modules/access/access.routes.ts
access	GET	/user-page-access-all	admin	backend/src/modules/access/access.routes.ts
access	GET	/role-page-access/:roleKey	admin	backend/src/modules/access/access.routes.ts
access	PUT	/role-page-access	admin	backend/src/modules/access/access.routes.ts
access	DELETE	/role-page-access/:roleKey/:pageCode	admin	backend/src/modules/access/access.routes.ts
access	GET	/designation-role-map	admin	backend/src/modules/access/access.routes.ts
access	POST	/designation-role-map	admin	backend/src/modules/access/access.routes.ts
access	DELETE	/designation-role-map/:id	admin	backend/src/modules/access/access.routes.ts
access	GET	/requests	admin	backend/src/modules/access/access.routes.ts
access	POST	/requests/:id/approve	admin	backend/src/modules/access/access.routes.ts
access	POST	/requests/:id/deny	admin	backend/src/modules/access/access.routes.ts
access	GET	/access-requests	admin	backend/src/modules/access/access.routes.ts
access	POST	/access-requests		backend/src/modules/access/access.routes.ts
access	POST	/access-requests/:id/approve	admin	backend/src/modules/access/access.routes.ts
access	POST	/access-requests/:id/deny	admin	backend/src/modules/access/access.routes.ts
account-control	GET	/forgot-password-info		backend/src/modules/account-control/account.control.routes.ts
account-control	POST	/reset-request	super_admin|admin|hr	backend/src/modules/account-control/account.control.routes.ts
account-control	POST	/force-change	super_admin|admin	backend/src/modules/account-control/account.control.routes.ts
account-control	POST	/lock	super_admin|admin	backend/src/modules/account-control/account.control.routes.ts
account-control	POST	/unlock	super_admin|admin	backend/src/modules/account-control/account.control.routes.ts
account-control	POST	/disable	super_admin|admin	backend/src/modules/account-control/account.control.routes.ts
account-control	POST	/enable	super_admin|admin	backend/src/modules/account-control/account.control.routes.ts
account-control	POST	/revoke-session	super_admin|admin	backend/src/modules/account-control/account.control.routes.ts
account-control	GET	/audit-log/:userId	super_admin|admin|hr	backend/src/modules/account-control/account.control.routes.ts
admin	GET	/agents		backend/src/modules/admin/costEfficiency.routes.ts
admin	GET	/processes		backend/src/modules/admin/costEfficiency.routes.ts
admin	GET	/opportunities		backend/src/modules/admin/costEfficiency.routes.ts
admin	GET	/salary-quality		backend/src/modules/admin/costEfficiency.routes.ts
admin	GET	/forecast		backend/src/modules/admin/costEfficiency.routes.ts
admin	GET	/dashboard		backend/src/modules/admin/costEfficiency.routes.ts
admin	GET	/export/:report		backend/src/modules/admin/costEfficiency.routes.ts
admin	GET	/roles		backend/src/modules/admin/role-assignment.routes.ts
admin	GET	/users/:userId/roles		backend/src/modules/admin/role-assignment.routes.ts
admin	POST	/users/:userId/roles		backend/src/modules/admin/role-assignment.routes.ts
admin	DELETE	/users/:userId/roles/:roleKey		backend/src/modules/admin/role-assignment.routes.ts
admin	GET	/role-audit		backend/src/modules/admin/role-assignment.routes.ts
admin	POST	/users/bulk-assign		backend/src/modules/admin/role-assignment.routes.ts
ai	GET	/providers	super_admin|admin	backend/src/modules/ai/ai-insights.routes.ts
ai	GET	/providers/active		backend/src/modules/ai/ai-insights.routes.ts
ai	GET	/session		backend/src/modules/ai/ai-insights.routes.ts
ai	GET	/briefing		backend/src/modules/ai/ai-insights.routes.ts
ai	GET	/company-knowledge/status		backend/src/modules/ai/ai-insights.routes.ts
ai	POST	/company-knowledge/refresh	super_admin|admin	backend/src/modules/ai/ai-insights.routes.ts
ai	POST	/providers	super_admin|admin	backend/src/modules/ai/ai-insights.routes.ts
ai	PUT	/providers/:id	super_admin|admin	backend/src/modules/ai/ai-insights.routes.ts
ai	POST	/providers/:id/test	super_admin|admin	backend/src/modules/ai/ai-insights.routes.ts
ai	POST	/providers/:id/set-default	super_admin|admin	backend/src/modules/ai/ai-insights.routes.ts
ai	POST	/providers/:id/disable	super_admin|admin	backend/src/modules/ai/ai-insights.routes.ts
ai	GET	/providers/usage	super_admin|admin	backend/src/modules/ai/ai-insights.routes.ts
ai	GET	/analytics/summary	super_admin|admin	backend/src/modules/ai/ai-insights.routes.ts
