table	writer_modules	writer_count
Aadhaar	ats	1
Approved	communication	1
BEFORE	finance	1
CURRENT_TIMESTAMP	_db|ats-assessment|lms|payroll	4
Candidate	job-requisition	1
Mx_UserMst	integrations	1
Planned	job-requisition	1
Rejected	communication	1
Requisition	job-requisition	1
Submitted	communication	1
above	ats|employees|payroll	3
absence_penalty_config	_shared	1
access_requests	access	1
account_control_log	account-control	1
across	exit	1
action_plan	portal	1
actual	compliance	1
adherence_alert	rta	1
affects	payroll-head-review	1
after	employees|roster	2
against	_db|management	2
ai_company_knowledge	ai	1
ai_feedback	ai	1
ai_prompt_audit_log	ai	1
ai_provider_config	ai	1
ai_provider_usage_log	ai	1
ai_rate_limit_bucket	ai	1
alert_cooldown	_shared	1
allowed	payroll	1
always	bulk-upload|it-provisioning	2
another	exit	1
anywhere	_db|ats	2
application	ijp	1
appointment_letter_audit	employees|letters	2
appointment_letter_audit_log	it-provisioning	1
appointment_letter_issue	letters	1
appointment_letter_issue_audit	letters	1
appointment_letter_request	ats|employees|it-provisioning|letters	4
appraisal_cycle	goals	1
appraisal_rating	goals	1
approval_action_log	workflow	1
approval_discard_log	discard	1
approval_request	workflow	1
approval_workflow_master	_db	1
asset	it-provisioning	1
asset_assignment	assets|it-provisioning	2
asset_master	assets|bulk-upload|it-provisioning	3
asset_service_log	assets	1
assignments	wfm	1
ats_assessment_audit_log	ats-assessment	1
ats_assessment_mapping	ats-assessment	1
ats_assessment_response	ats-assessment	1
ats_assessment_template	ats-assessment	1
ats_bgv_check	ats	1
ats_bgv_record	ats-extensions	1
ats_bgv_response	ats-full-parity	1
ats_bgv_verification	ats	1
ats_bgv_verification_details	ats	1
ats_branch_alias_master	ats	1
ats_branch_head_approval	ats	1
ats_candidate	_workers|ats|ats-extensions|ats-full-parity|auth|employees|job-requisition	7
ats_candidate_assessment	ats-assessment	1
ats_candidate_confirmation	ats-full-parity	1
ats_candidate_documents	ats	1
ats_candidate_file	ats	1
ats_candidate_file_access_audit	ats	1
ats_candidate_portal_access	ats	1
ats_candidate_stage_log	ats|ats-full-parity	2
ats_command_audit_log	ats-full-parity	1
ats_command_email_log	ats-full-parity	1
ats_command_sla_event	ats-full-parity	1
ats_daily_branch_report_log	ats-full-parity	1
ats_doc_upload_response	ats-full-parity	1
ats_duplicate_log	ats-extensions	1
ats_employment_offer	ats|employees	2
ats_form_config	ats	1
ats_identity_otp	ats-assessment	1
ats_interview_result	ats	1
ats_interview_submission	ats-full-parity	1
ats_interview_submission_audit	ats-full-parity	1
ats_notification_log	ats	1
ats_offer	ats-extensions	1
ats_offer_approval	ats	1
ats_offer_letters	ats	1
ats_onboarding_bridge	ats|employees	2
ats_onboarding_request	ats	1
ats_onboarding_tasks	ats	1
ats_payroll_hr_validation	ats|payroll-head-review	2
ats_provider_transaction_log	ats|integrations	2
ats_question_bank	ats-assessment	1
ats_queue_token	ats|ats-full-parity	2
ats_recruiter	ats	1
ats_recruiter_assignment_log	ats|ats-full-parity	2
ats_recruiter_device	ats-full-parity	1
ats_recruiter_hiring_activity	ats	1
ats_recruiter_hiring_import_batch	ats	1
ats_recruiter_hiring_import_error	ats	1
ats_recruiter_roster	ats|ats-full-parity	2
ats_sensitive_action_log	ats|ats-full-parity	2
ats_typing_passage_bank	ats-assessment	1
ats_typing_test_attempt	ats-assessment	1
attendance_billing_config	attendance	1
attendance_daily_record	_shared|attendance|leave|payroll|wfm	5
attendance_exception	peopleos	1
attendance_manual_override	attendance	1
attendance_reconciliation_issue	wfm	1
attendance_reconciliation_record	roster|rta	2
attendance_regularization	attendance|discard|wfm	3
attendance_rule_config	wfm	1
attrition_record	wfm-extensions	1
audit_action_log	_shared	1
audit_log	wfm	1
auth_invitation	auth|employees	2
auth_otp_reset	auth	1
auth_password_reset	auth	1
auth_refresh_token	_shared|auth	2
auth_two_factor_challenge	auth	1
auth_user	account-control|auth|employees|it-provisioning|privacy	5
autoVars	email-templates	1
badge	engagement	1
bank_penny_drop_log	employees|payroll	2
based	_workers	1
batch	incentives|it-provisioning|wfm	3
before	uat-pipeline	1
below	finance|payroll|process-pnl	3
benefit_enrollment	benefits	1
benefit_plan	benefits	1
billing_invoice	erp	1
billing_unit	erp	1
biometric_attendance_log	break-management|wfm	2
bmi_manual_input	ats	1
bonus_calculation	compliance	1
brain_teaser	engagement	1
brain_teaser_attempt	engagement	1
branch	ats	1
branch_head_assignments	assets	1
branch_master	bulk-upload|org	2
branch_notification_recipient	it-provisioning	1
branch_payroll_hr_signatory	employees	1
branch_wfm_spoc_config	wfm	1
break_alert_logs	break-management	1
break_audit_logs	break-management	1
break_daily_summary	break-management	1
break_kiosk_devices	break-management	1
break_sessions	break-management	1
break_settings	break-management	1
budget	ai	1
bulk_operation_jobs	portal	1
bulk_upload_locked_entity	bulk-upload	1
business_action_activity_log	business-actions	1
business_action_comment	business-actions	1
business_action_queue	business-actions	1
business_policy_config	policy-engine	1
business_policy_config_history	policy-engine	1
campaign_master	org	1
candidate	ai|ats|employees|job-requisition	4
candidate_bank_verification	ats	1
candidate_bgv_api_request_log	ats	1
candidate_bgv_check	ats|employees|integrations	3
candidate_bgv_consent	ats|employees	2
candidate_bgv_exception	ats	1
candidate_bgv_report	ats|integrations	2
candidate_bgv_vendor_dispatch	ats	1
candidate_bgv_verification_event	ats	1
candidate_digilocker_session	ats|integrations	2
candidate_digilocker_sessions	onboarding	1
candidate_document_access_log	ats	1
candidate_document_reupload_request	ats	1
candidate_face_match	ats	1
candidate_fraud_alert	ats	1
candidate_name_match_detail	ats	1
candidate_name_match_summary	ats	1
candidate_name_override_audit	ats	1
candidate_onboarding_autosave	ats	1
candidate_onboarding_bank_detail	ats|payroll	2
candidate_onboarding_document	ats	1
candidate_onboarding_experience	ats	1
candidate_onboarding_family	ats	1
candidate_onboarding_family_member	ats	1
candidate_onboarding_language	ats	1
candidate_onboarding_nominee	ats	1
candidate_onboarding_otp	ats	1
candidate_onboarding_profile	ats	1
candidate_onboarding_progress	candidate-onboarding	1
candidate_onboarding_qualification	ats	1
candidate_onboarding_readiness	candidate-onboarding	1
candidate_onboarding_section_status	ats	1
candidate_onboarding_sessions	candidate-onboarding	1
candidate_onboarding_submission_log	ats	1
candidate_otp_logs	candidate-onboarding	1
candidate_payroll_review_flags	onboarding	1
cannot	ats	1
canonical	ats-full-parity	1
career_path	career	1
carries	_shared	1
caught	_db	1
chat_funnel_detail	kpi	1
checklist	payroll	1
checkpoint	_workers	1
cheque_name_validation	ats|payroll	2
clause	ats	1
client	portal	1
client_contract_master	process-pnl|revenue-risk	2
client_credit_note	client-billing	1
client_credit_note_line	client-billing	1
client_invoice	client-billing	1
client_invoice_audit_log	client-billing	1
client_invoice_line	client-billing	1
client_invoice_migration_staging	_db	1
client_invoice_number_sequence	client-billing	1
client_invoice_payment_log	finance	1
client_invoice_payment_status	finance	1
client_master	portal	1
client_po_number	client-billing	1
client_po_particular	client-billing	1
client_provision	client-billing	1
client_provision_deduction	client-billing	1
client_user	portal	1
closes	exit	1
coaching_session	management|quality-dashboard	2
column	wfm	1
communication_provider_config	communication	1
communication_template	communication	1
company_event_master	org	1
company_post_comments	engagement	1
company_post_creator_access	engagement	1
company_post_likes	engagement	1
company_post_media	engagement	1
company_posts	engagement	1
company_signing_certificate	letters	1
company_signing_certificate_audit	letters	1
competency	performance-feedback	1
competency_master	performance-feedback	1
consecutives	wfm	1
consent_text_version	privacy	1
const	_workers|auth|compliance	3
contacts	finance	1
contract_master	erp	1
conversion_funnel_event	kpi	1
cosec	it-provisioning	1
cosec_user_sync_queue	integrations	1
cost_centre_approval_log	finance|org	2
cost_centre_contacts	finance	1
cost_centre_master	_scripts|finance|org|process-pnl	4
cost_centre_reward_penalty	process-pnl	1
cost_centre_seat_rate	process-pnl	1
could	exit	1
court_status	ats	1
customization_application_log	customization	1
customization_cache	customization	1
