module	table	mode	file
_app.ts	appointment	read	backend/src/app.ts
_config	JWT_SECRET	read	backend/src/config/env.ts
_config	ER_TABLEACCESS_DENIED_ERROR	read	backend/src/config/env.ts
_config	db_definitely_not_here	read	backend/src/config/env.ts
_db	mysql	read	backend/src/db/db-error-classification.ts
_db	blocking	read	backend/src/db/mysql.ts
_db	nextProbeTime	read	backend/src/db/mysql.ts
_db	employees	write	backend/src/db/pagination.ts
_db	manifest	read	backend/src/db/runPendingMigrations.ts
_db	migrations	read	backend/src/db/runPendingMigrations.ts
_db	three	read	backend/src/db/runPendingMigrations.ts
_db	whichever	read	backend/src/db/runPendingMigrations.ts
_db	their	read	backend/src/db/runPendingMigrations.ts
_db	role_page_access	read	backend/src/db/runPendingMigrations.ts
_db	client	read	backend/src/db/runPendingMigrations.ts
_db	MANIFEST	read	backend/src/db/runPendingMigrations.ts
_db	finance_year	read	backend/src/db/runPendingMigrations.ts
_db	db_bill	read	backend/src/db/runPendingMigrations.ts
_db	different	read	backend/src/db/runPendingMigrations.ts
_db	every	read	backend/src/db/runPendingMigrations.ts
_db	cannot	read	backend/src/db/runPendingMigrations.ts
_db	renamed	read	backend/src/db/runPendingMigrations.ts
_db	verified	read	backend/src/db/runPendingMigrations.ts
_db	CAPEX_COMPUTERS	read	backend/src/db/runPendingMigrations.ts
_db	cost_centre_master	read	backend/src/db/runPendingMigrations.ts
_db	being	read	backend/src/db/runPendingMigrations.ts
_db	HRMS2	read	backend/src/db/runPendingMigrations.ts
_db	finance_period_lock	read	backend/src/db/runPendingMigrations.ts
_db	expected_return_at	read	backend/src/db/runPendingMigrations.ts
_db	call_quality_assessment	read	backend/src/db/runPendingMigrations.ts
_db	ai_prompt_audit_log	read	backend/src/db/runPendingMigrations.ts
_db	festival_calendar	read	backend/src/db/runPendingMigrations.ts
_db	utf8mb4_0900_ai_ci	read	backend/src/db/runPendingMigrations.ts
_db	employees	read	backend/src/db/runPendingMigrations.ts
_db	PEOPLE_SCOPE_ROLES	read	backend/src/db/runPendingMigrations.ts
_db	legacy	read	backend/src/db/runPendingMigrations.ts
_db	branch_master	read	backend/src/db/runPendingMigrations.ts
_db	history	read	backend/src/db/runPendingMigrations.ts
_db	page_catalog	read	backend/src/db/runPendingMigrations.ts
_db	salary_component_master	read	backend/src/db/runPendingMigrations.ts
_db	WHOSE	read	backend/src/db/runPendingMigrations.ts
_db	schema_migrations	read	backend/src/db/runPendingMigrations.ts
_db	current	read	backend/src/db/runPendingMigrations.ts
_db	blocking	read	backend/src/db/runPendingMigrations.ts
_db	salary_certificate_request	write	backend/src/db/runPendingMigrations.ts
_db	statements	write	backend/src/db/runPendingMigrations.ts
_db	against	write	backend/src/db/runPendingMigrations.ts
_db	timestamp	write	backend/src/db/runPendingMigrations.ts
_db	named	write	backend/src/db/runPendingMigrations.ts
_db	through	write	backend/src/db/runPendingMigrations.ts
_db	approval_workflow_master	write	backend/src/db/runPendingMigrations.ts
_db	those	write	backend/src/db/runPendingMigrations.ts
_db	data_retention_policy	write	backend/src/db/runPendingMigrations.ts
_db	transfer_record	write	backend/src/db/runPendingMigrations.ts
_db	raises	write	backend/src/db/runPendingMigrations.ts
_db	yields	write	backend/src/db/runPendingMigrations.ts
_db	wfm_shift_master	write	backend/src/db/runPendingMigrations.ts
_db	finance_budget_line_tax_amendment	write	backend/src/db/runPendingMigrations.ts
_db	touches	write	backend/src/db/runPendingMigrations.ts
_db	employee_documents	write	backend/src/db/runPendingMigrations.ts
_db	failed	write	backend/src/db/runPendingMigrations.ts
_db	client_invoice_migration_staging	write	backend/src/db/runPendingMigrations.ts
_db	anywhere	write	backend/src/db/runPendingMigrations.ts
_db	CURRENT_TIMESTAMP	write	backend/src/db/runPendingMigrations.ts
_db	request	write	backend/src/db/runPendingMigrations.ts
_db	caught	write	backend/src/db/runPendingMigrations.ts
_db	directly	write	backend/src/db/runPendingMigrations.ts
_db	employees	write	backend/src/db/runPendingMigrations.ts
_db	schema_migrations	write	backend/src/db/runPendingMigrations.ts
_jobs	pending_unassigned	read	backend/src/jobs/provisioning-retry.job.ts
_jobs	above	read	backend/src/jobs/provisioning-retry.job.ts
_jobs	employees	read	backend/src/jobs/provisioning-retry.job.ts
_jobs	ats_onboarding_bridge	read	backend/src/jobs/provisioning-retry.job.ts
_jobs	it_provisioning_request	read	backend/src/jobs/provisioning-retry.job.ts
_lib	insertion	write	backend/src/lib/cache/quality-cache.ts
_lib	db_audit	read	backend/src/lib/query-builders/quality-queries.ts
_lib	agent_scores	read	backend/src/lib/query-builders/quality-queries.ts
_lib	agent_stats	read	backend/src/lib/query-builders/quality-queries.ts
_lib	peer_stats	read	backend/src/lib/query-builders/quality-queries.ts
_lib	agent_rank	read	backend/src/lib/query-builders/quality-queries.ts
_lib	weekly_breakdown	read	backend/src/lib/query-builders/quality-queries.ts
_lib	weakness_scores	read	backend/src/lib/query-builders/quality-queries.ts
_lib	peer_weakness	read	backend/src/lib/query-builders/quality-queries.ts
_middleware	auth_user	read	backend/src/middleware/authMiddleware.ts
_middleware	accessing	read	backend/src/middleware/requireAgent.ts
_middleware	portal_user_sessions	read	backend/src/middleware/requireClientAuth.ts
_middleware	client_user	read	backend/src/middleware/requireClientAuth.ts
_middleware	user_roles	read	backend/src/middleware/requireRole.ts
_middleware	salary_prep_line	read	backend/src/middleware/requireWFMAccess.ts
_middleware	employees	read	backend/src/middleware/requireWFMAccess.ts
_middleware	user_roles	read	backend/src/middleware/requireWFMAccess.ts
_middleware	overtime	write	backend/src/middleware/requireWFMAccess.ts
access	auth_user	read	backend/src/modules/access/access.routes.ts
