Section,Route,Component,ComponentFile,GateType,GateValue,IsRedirect,RedirectTarget
Public,/,,,None,,TRUE,/auth
Public,/features,Features,@/pages/Features,None,,FALSE,
Public,/how-it-works,HowItWorks,@/pages/HowItWorks,None,,FALSE,
Public,/pricing,Pricing,@/pages/Pricing,None,,FALSE,
Public,/privacy-policy,PrivacyPolicy,@/pages/PrivacyPolicy,None,,FALSE,
Public,/terms-of-service,TermsOfService,@/pages/TermsOfService,None,,FALSE,
Public,/security,Security,@/pages/Security,None,,FALSE,
Public,/auth,Auth,@/pages/AuthClean,None,,FALSE,
Public,/login,Auth,@/pages/AuthClean,None,,FALSE,
Public,/reset-password,ResetPassword,@/pages/ResetPassword,None,,FALSE,
Public,/change-password,ChangePassword,@/pages/ChangePassword,ProtectedRoute,,FALSE,
Public,/two-factor,TwoFactor,@/pages/TwoFactor,ProtectedRoute,,FALSE,
Public,/verify/emp/:employeeCode,PublicEmployeeVerify,@/pages/PublicEmployeeVerify,None,,FALSE,
Public,/verify/payslip/:employeeCode/:monthYear,PublicPayslipVerify,@/pages/PublicEmployeeVerify,None,,FALSE,
Public,/verify/appointment/:token,PublicAppointmentLetterVerify,@/pages/PublicAppointmentLetterVerify,None,,FALSE,
Public,/interview-registration,NativeATSCandidateRegistration,@/pages/NativeATSCandidateRegistration,None,,FALSE,
Public,/candidate-registration,,,None,,TRUE,/interview-registration
Public,/walkin-registration,,,None,,TRUE,/interview-registration
Public,/onboard,CandidateOnboardingPage,@/pages/CandidateOnboardingPage,None,,FALSE,
Public,/onboard-full,CandidateOnboardingFullPage,@/pages/CandidateOnboardingFullPage,None,,FALSE,
Public,/onboard-full-legacy,CandidateOnboardingV2,@/pages/CandidateOnboardingV2,None,,FALSE,
Public,/candidate-onboarding-full,,,None,,TRUE,/onboard-full
Public,/onboard-v1,,,None,,TRUE,/onboard-full
Public,/candidate-portal/login,CandidatePortalLogin,@/pages/CandidatePortalLogin,None,,FALSE,
Public,/candidate-portal/dashboard,CandidatePortalDashboard,@/pages/CandidatePortalDashboard,None,,FALSE,
Public,/portal/login,PortalLogin,@/pages/portal/PortalLogin,None,,FALSE,
Public,/break-desk,BreakDesk,@/pages/BreakDesk,None,,FALSE,
Public,/display/waiting-room,WaitingRoomDisplay,@/pages/WaitingRoomDisplay,None,,FALSE,
Public,/display/ops-board,OpsBoard,@/pages/OpsBoard,None,,FALSE,
Public,/employee/joining-documents/esign/:token,EmployeeDocumentEsignReviewPage,@/pages/EmployeeDocumentEsignReviewPage,None,,FALSE,
Public,/employee/joining-kit/esign/:token,EmployeeJoiningKitEsignPage,@/pages/EmployeeJoiningKitEsignPage,None,,FALSE,
Public,/employee/epf-compliance/review/:token,EmployeeEpfComplianceReviewPage,@/pages/EmployeeEpfComplianceReviewPage,None,,FALSE,
Public,/visitor-register,VisitorSelfRegister,@/pages/VisitorSelfRegister,None,,FALSE,
Public,/visitor-status/:token,VisitorStatusPage,@/pages/VisitorStatusPage,None,,FALSE,
Public,/visitor-status,VisitorStatusPage,@/pages/VisitorStatusPage,None,,FALSE,
Public,/visitor-gate,VisitorGatePage,@/pages/VisitorGatePage,None,,FALSE,
Dashboards,/dashboard,Index,@/pages/Index,ProtectedRoute,,FALSE,
Dashboards,/ceo/dashboard,CeoDashboard,@/pages/dashboards/CeoDashboard,DashboardRouteGate,CEO_DASHBOARD,FALSE,
Dashboards,/payroll-hr/dashboard,PayrollHrDashboard,@/pages/dashboards/PayrollHrDashboard,DashboardRouteGate,PAYROLL_HR_DASHBOARD,FALSE,
Dashboards,/wfm/dashboard,WfmDashboard,@/pages/dashboards/WfmDashboard,DashboardRouteGate,WFM_DASHBOARD,FALSE,
Dashboards,/hr/dashboard,HrDashboard,@/pages/dashboards/HrDashboard,DashboardRouteGate,HR_DASHBOARD,FALSE,
Dashboards,/manager/dashboard,ManagerDashboard,@/pages/dashboards/ManagerDashboard,DashboardRouteGate,MANAGEMENT_DASHBOARD,FALSE,
Dashboards,/my-dashboard,EmployeeSelfDashboard,@/pages/dashboards/EmployeeSelfDashboard,DashboardRouteGate,EMPLOYEE_SELF_DASHBOARD,FALSE,
Dashboards,/quality-dashboard,QualityDashboard,@/pages/QualityDashboard,DashboardRouteGate,QUALITY_DASHBOARD,FALSE,
Dashboards,/operations-dashboard,OperationsDashboard,@/pages/OperationsDashboard,DashboardRouteGate,OPERATIONS_DASHBOARD,FALSE,
Dashboards,/recruiter-dashboard,RecruiterDashboard,@/pages/dashboards/RecruiterDashboard,DashboardRouteGate,RECRUITER_DASHBOARD,FALSE,
Dashboards,/wfm-attendance,WfmAttendanceDashboard,@/pages/dashboards/WfmAttendanceDashboard,DashboardRouteGate,WFM_ATTENDANCE_DASHBOARD,FALSE,
Dashboards,/it/dashboard,ItManagerDashboard,@/pages/dashboards/ItManagerDashboard,DashboardRouteGate,IT_MANAGER_DASHBOARD,FALSE,
Finance,/finance/grn,NativeGRNManagement,@/pages/NativeGRNManagement,ProtectedRoute+Roles+Gate,FINANCE_GRN,FALSE,
Finance,/finance/branch-budget,BranchBudgetManagementPage,@/pages/finance/BranchBudgetManagementPage,ProtectedRoute+Roles+Gate,FINANCE_BRANCH_BUDGET,FALSE,
Finance,/finance/process-pnl,ProcessPnlPage,@/pages/finance/ProcessPnlPage,ProtectedRoute+Roles+Gate,FINANCE_PROCESS_PNL,FALSE,
Payroll,/payroll,Payroll,@/pages/Payroll,ProtectedRoute+Gate,PAYROLL,FALSE,
Payroll,/payroll/payslips,PayslipCenterRoute,payroll.routes.tsx (inline role-check),ProtectedRoute,,FALSE,
Payroll,/payroll/bank-readiness,BankPaymentReadiness,@/pages/payroll/BankPaymentReadiness,ProtectedRoute+Roles+Gate,PAYROLL_BANK_READINESS,FALSE,
Performance/Quality,/quality/executive,ExecutiveQualityDashboard,@/pages/ExecutiveQualityDashboard,ProtectedRoute+Gate,QUALITY_EXECUTIVE (2026-08-17: now a real page not a redirect),FALSE,

NOTE: Full 381-row detail (all 12 route files) captured in the discovery agent transcript
